X,Y,Frame,Tiempo_seg,columna
1697.6764,404.08063,90,6.301757211890467,0
1697.6921,404.12436,91,6.371776736467028,0
1697.6617,404.31308,92,6.441796261043589,0
1697.7408,404.24484,93,6.51181578562015,0
1697.752,404.25443,94,6.58183531019671,0
1697.8397,404.43338,95,6.651854834773271,0
1697.8569,404.48798,96,6.721874359349832,0
1697.7437,404.62643,97,6.7918938839263925,0
1697.7921,404.69806,98,6.861913408502954,0
1697.8995,404.87863,99,6.931932933079514,0
1697.3921,414.0382,100,7.001952457656075,0
1696.243,424.42554,105,7.352050080538879,0
1696.2274,424.6241,106,7.422069605115439,0
1696.2534,424.80066,107,7.492089129692,0
1696.1826,425.03943,108,7.56210865426856,0
1696.2286,425.11694,109,7.632128178845122,0
1696.3217,425.44424,110,7.702147703421683,0
1696.3842,425.34662,111,7.772167227998243,0
1696.1887,425.5373,112,7.842186752574804,0
1696.2732,425.4952,113,7.912206277151364,0
1695.9597,430.61652,114,7.982225801727925,0
1695.5609,440.5717,115,8.052245326304487,0
1695.091,444.0979,116,8.122264850881047,0
1694.9403,445.01675,117,8.192284375457607,0
1694.7761,445.7198,118,8.26230390003417,0
1695.0896,446.03485,119,8.33232342461073,0
1694.9973,446.21307,120,8.40234294918729,0
1694.8359,446.30142,121,8.47236247376385,0
1694.9839,446.31195,122,8.542381998340412,0
1695.1495,446.42145,123,8.612401522916972,0
1695.0465,446.4611,124,8.682421047493532,0
1694.9865,446.7397,125,8.752440572070094,0
1695.0583,446.8351,126,8.822460096646655,0
1695.2117,447.0095,127,8.892479621223215,0
1694.9857,449.52185,128,8.962499145799775,0
1694.0765,460.48694,129,9.032518670376335,0
1693.7625,465.35388,130,9.102538194952896,0
1693.6802,466.82297,131,9.172557719529458,0
1693.6193,467.59537,132,9.24257724410602,0
1693.6423,467.84546,133,9.31259676868258,0
1693.664,468.12195,134,9.38261629325914,0
1693.746,468.29724,135,9.4526358178357,0
1693.5504,468.4261,136,9.522655342412262,0
1693.6841,468.55942,137,9.592674866988824,0
1693.5859,468.71732,138,9.662694391565385,0
1693.7042,469.0652,139,9.732713916141943,0
1693.7036,469.17453,140,9.802733440718503,0
1693.5831,469.18958,141,9.872752965295064,0
1693.5431,469.97498,142,9.942772489871626,0
1692.5898,481.2573,143,10.012792014448188,0
1692.0114,487.48303,144,10.082811539024748,0
1692.0277,489.65143,145,10.152831063601308,0
1691.8767,490.32654,146,10.22285058817787,0
1691.8945,490.72943,147,10.29287011275443,0
1691.8876,491.21716,148,10.36288963733099,0
1691.8568,491.53497,149,10.432909161907553,0
1691.9852,491.78986,150,10.502928686484111,0
1692.0917,491.8477,151,10.572948211060671,0
1692.002,492.03992,152,10.642967735637232,0
1691.9061,492.10422,153,10.712987260213795,0
1691.952,492.0366,154,10.783006784790356,0
1691.9644,492.27722,155,10.853026309366916,0
1691.8752,492.32623,156,10.923045833943476,0
1691.3008,500.62152,157,10.993065358520038,0
1690.7169,509.6071,158,11.063084883096598,0
1690.4908,512.48047,159,11.13310440767316,0
1690.4775,513.8616,160,11.20312393224972,0
1690.408,514.2844,161,11.27314345682628,0
1690.5393,514.80444,162,11.34316298140284,0
